_id,title,numRating,averageRating,totalVideoLengthInSeconds,createdAt,numSoldTickets,price,preOrderedPrice,publishTime,groupId,groupTitle,groupName,subGroupId,subGroupTitle,subGroupName
60efd3a347b7d70006894784,毛孩肖像自己來｜6步驟掌握工筆畫貓訣竅,0,0.0,19195,2021-07-15T06:20:19.000Z,57,3000,2300,2021-12-09T04:00:02.467Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5cdcff9125599e0022bb6a78,從興趣到接案：建立專業插畫創作流程,28,4.93,7659,2019-05-16T06:13:37.000Z,401,2680,1980,2020-01-13T04:00:35.255Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
61852baeb7fe1c0006800660,療癒動物似顏繪：提升插畫魅力的風格提煉術！,0,0.0,11167,2021-11-05T13:03:42.000Z,271,1500,1200,2022-03-07T04:00:31.847Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5d70855745639e00212a9f39,散戶必看！台股擂台王的波段操作心法,18,5.0,12255,2019-09-05T03:47:35.000Z,349,3600,2990,2020-01-13T03:56:49.535Z,5c0a106f1f7e290020b4c486,投資理財,finance-and-investment,5c0a10e81f7e290020b4c4a4,金融商品,financial-instruments
5f55fb39b34335d28416bd0c,音樂人必學，編曲製作心法,0,0.0,18151,2020-09-07T09:19:53.000Z,183,2199,1499,2021-11-29T04:00:14.527Z,5c09dc811f7e290020b4bd26,音樂,music,5c09e1351f7e290020b4bdc4,音樂創作,music-production
5fe6fe2c5a5ba942b377c5ec,人物專訪怎麼寫？訪綱、採訪、寫作心法,6,4.83,6496,2020-12-26T09:11:08.000Z,277,2280,1680,2022-01-24T04:08:59.923Z,5c0a04671f7e290020b4c282,人文,humanities,5c0a04781f7e290020b4c287,文學,literature
567b85a350562140005e6b86,設計風，手寫英文藝術字（基礎篇）,51,4.9,4337,2015-12-24T05:41:55.000Z,906,650,600,2016-03-15T06:05:05.000Z,5c09e9af1f7e290020b4bf33,藝術,art,5ef19ca57e05eb527ea065dc,字體設計,font-design
5d428e522fb50200206226e9,AI 行銷學：用 Python 機器學習創造商業新價值,7,4.43,42116,2019-08-01T07:01:38.000Z,297,3888,2700,2019-12-03T04:06:26.538Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
602cb1206ed1d1e093e87117,從懷孕到產後：筋肉媽媽的孕婦運動指南,0,0.0,20230,2021-02-17T06:01:04.000Z,281,2980,2480,2021-08-03T04:00:17.447Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a29fe1f7e290020b4c897,運動,exercise
5afe4dad7d3f43001e61b8a2,啾啾鞋的資料彙整術 - 別淹沒在資訊海！,211,4.94,8591,2018-05-18T03:51:09.000Z,2753,1500,1000,2018-10-30T04:00:14.212Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a16891f7e290020b4c58f,資料彙整,data-compaction
5e75a89b9c4b140023a66037,德文輕鬆學，零基礎也學得會的實用會話,7,4.86,25954,2020-03-21T05:39:39.000Z,231,2000,1200,2020-09-30T04:00:06.637Z,5c09dda01f7e290020b4bd53,語言,language,5fc9a1f7f770aa3599d4ad9d,歐洲語言,european-language
563b54ff423bdd0a00103e90,超簡單讓你學會 Beatbox,14,4.86,2444,2015-11-05T13:09:19.000Z,497,400,300,2016-02-07T05:12:18.000Z,5c09dc811f7e290020b4bd26,音樂,music,5c09e30b1f7e290020b4be24,人聲,vocal
61034f3d4ef8b500067afc1c,職場表演學：同理心表達自我，展現溝通魅力,9,4.78,17033,2021-07-30T01:00:45.000Z,379,2250,1800,2021-11-10T04:00:14.432Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a19401f7e290020b4c5c1,職場溝通,workplace-communication
5eb27043ac1373774866afa0,養個股兒子︱要存就存冷門股,47,4.77,3537,2020-05-06T08:07:31.000Z,325,1399,999,2020-10-27T04:01:19.846Z,5c0a106f1f7e290020b4c486,投資理財,finance-and-investment,5c0a10e81f7e290020b4c4a4,金融商品,financial-instruments
5ab944be8a3b9a001e39ecd8,從 iPad 入門 - 音樂製作 & 影像剪輯,15,5.0,17074,2018-03-26T19:06:38.000Z,304,1000,999,2018-08-01T04:00:32.356Z,5c09dc811f7e290020b4bd26,音樂,music,5c09e1351f7e290020b4bdc4,音樂創作,music-production
6155cda6d425f500065f5c96,動態設計思維，柏尹帶你培養品牌動畫鑑賞力,243,4.98,1424,2021-09-30T14:45:58.000Z,5152,0,0,2021-11-10T04:09:15.489Z,5c09e75c1f7e290020b4bee1,攝影,photography,5ef1a7e77e05eb3c0ba07101,動態攝影,videography
57728810c2917a110075fb68,克服阻礙，快速說出流暢英文,141,4.95,18283,2016-06-28T14:22:08.000Z,2114,1480,739,2016-11-12T02:02:39.383Z,5c09dda01f7e290020b4bd53,語言,language,5c09ddc01f7e290020b4bd54,英文,english
6061767348d35685c1c0c603,凱蒂瑜珈與穎盈中醫師：養生療癒的經絡瑜珈,6,4.83,19200,2021-03-29T06:40:51.000Z,377,2500,1980,2021-08-04T03:53:22.571Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a29fe1f7e290020b4c897,運動,exercise
5e586dc6c8bfb6002494c0d6,人生管理學：把自己當成公司經營,13,4.23,16206,2020-02-28T01:32:54.000Z,180,2049,1490,2020-07-21T09:40:46.805Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5ef1a98a7e05eb9d9aa0734c,個人品牌經營,personal-brand
5639fe25423bdd0a00103d55,臉部素描－輕鬆打好人物畫基礎,50,4.58,1447,2015-11-04T12:46:29.000Z,549,350,250,2016-01-06T04:23:53.000Z,5c09e9af1f7e290020b4bf33,藝術,art,5ef19cfb142344810ed3dc83,素描,sketching
57976e0dd0c3030700419d8b,Illustrator 平面圖像設計,61,4.89,25904,2016-07-26T14:05:01.000Z,847,1200,599,2016-12-23T03:53:55.090Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff291f7e290020b4c1a4,平面設計,graphic-design-tool
577085d3c2917a110075ece3,PHP+MySQL 動態網頁入門,13,3.69,8219,2016-06-27T01:48:03.000Z,233,1800,1000,2016-11-13T14:39:22.586Z,5c0a05491f7e290020b4c294,程式,programming,5c0a05d51f7e290020b4c2a7,程式入門,programming-fundamentals
5bf3e5562dcfe6002005618b,訪談溝通術：交流、說服與談判的必勝訣竅,33,4.85,11174,2018-11-20T10:43:34.000Z,437,1890,1280,2019-03-27T04:08:45.826Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a19401f7e290020b4c5c1,職場溝通,workplace-communication
57591fc5cb768f0900cdac55,資料科學：Orange3 入門,14,3.71,3293,2016-06-09T07:50:29.000Z,239,250,150,2016-10-30T05:09:21.478Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
61fb759adda3a500078d2a99,自組登山的第一步：給登山者的八堂進階課,0,0.0,16293,2022-02-03T06:26:34.730Z,268,2400,1800,0,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a29fe1f7e290020b4c897,運動,exercise
60c1d33a8dd31844b56bfd54,學習 AI 一把抓：點亮人工智慧技能樹,0,0.0,74736,2021-06-10T08:54:18.000Z,203,2799,1949,2022-03-08T04:00:27.165Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
5edf464fb54d0f59f0e7d96a,24 單元入門投資科學 一次搞懂投資必備知識,167,4.87,20180,2020-06-09T08:20:31.000Z,3978,3600,2490,2020-11-16T04:00:35.986Z,5c0a106f1f7e290020b4c486,投資理財,finance-and-investment,5c0a10a71f7e290020b4c48f,投資觀念,investing-concept
5aaf2dad1e4ee6001e9632fd,三小時教你怎麼講道德不輸人,21,4.95,13723,2018-03-19T03:25:33.000Z,683,1200,990,2018-07-10T04:00:34.852Z,5c0a04671f7e290020b4c282,人文,humanities,5c21fb834e32a8001facf267,更多人文,more-humanities
60fa9c7d1917300007734fd3,筋肉媽媽帶你練！六週增肌減脂訓練營,0,0.0,23079,2021-07-23T10:39:57.000Z,592,2100,1680,2021-11-22T04:00:14.778Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a29fe1f7e290020b4c897,運動,exercise
6040bb5ac08b941991d7c075,性忘愛班導師上課囉！孫中興的毀三觀愛情學,53,4.87,2660,2021-03-04T10:50:02.000Z,446,380,299,2021-04-29T04:01:05.952Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c220e964e32a8001facf4bb,更多生活品味,more-lifestyle
5ef753dc7bae0cf058c9d100,六大實拍範例，商攝打光再精進,15,5.0,14502,2020-06-27T14:12:44.000Z,367,3800,3150,2020-10-19T04:00:11.993Z,5c09e75c1f7e290020b4bee1,攝影,photography,5c09e80e1f7e290020b4bef2,商業攝影,commercial-photography
5e4598a65b02f600245a9e8e,在家CEO！在家打造量身訂做的個人事業,0,0.0,14143,2020-02-13T18:42:46.000Z,69,1280,980,2020-09-26T04:23:45.176Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c220e964e32a8001facf4bb,更多生活品味,more-lifestyle
551a6be023774e0a001eb20c,療癒感手繪插畫食譜,22,4.59,1250,2015-03-31T09:41:52.000Z,229,200,100,2015-05-25T04:23:12.000Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5cac9bd2d133060020f42ab4,職場必備的批判思考力：基礎篇,175,4.87,3992,2019-04-09T13:19:14.000Z,1612,499,399,2019-07-22T03:57:28.890Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c220df24e32a8001facf496,更多職場技能,more-career-skills
6056f8ceab70de413d98e723,Python 輿情應用趣：顧客樣貌分析攻略,0,0.0,18063,2021-03-21T07:42:06.000Z,143,2388,1988,2021-12-15T04:00:18.213Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
5fa00d88a7ab9018ab556ecf,跨國紙筆之旅：B6 速寫男帶你畫遍全世界,32,5.0,35960,2020-11-02T13:45:44.000Z,1563,2400,1280,2021-02-15T04:00:35.232Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
